time,angle,position,pendulum_angle,unwrapped_pendulum_angle,voltage
9,180.0,0.0,0.0,0.0,0.09
19,180.0,0.0,0.0,0.0,0.04
29,180.0,0.0,0.0,0.0,0.02
39,180.0,0.0,0.0,0.0,0.01
49,180.0,0.0,0.0,0.0,0.0
59,180.0,0.0,0.0,0.0,0.0
69,180.0,0.0,0.0,0.0,0.0
79,180.0,0.0,0.0,0.0,0.0
89,180.0,0.0,0.0,0.0,0.0
99,180.0,0.0,0.0,0.0,0.0
109,180.0,0.0,0.0,0.0,0.0
119,180.0,0.0,0.0,0.0,0.0
129,180.0,0.0,0.0,0.0,0.0
139,180.0,0.0,0.0,0.0,0.0
149,180.0,0.0,0.0,0.0,0.0
159,180.0,0.0,0.0,0.0,0.0
169,180.0,0.0,0.0,0.0,0.0
180,180.0,0.0,0.0,0.0,0.0
190,180.0,0.0,0.0,0.0,0.0
200,180.0,0.0,0.0,0.0,0.0
210,180.0,0.0,0.0,0.0,0.0
220,180.0,0.0,0.0,0.0,0.0
230,180.0,0.0,0.0,0.0,0.0
240,180.0,0.0,0.0,0.0,0.0
250,180.0,0.0,0.0,0.0,0.0
260,180.0,0.0,0.0,0.0,0.0
270,180.0,0.0,0.0,0.0,0.0
280,180.0,0.0,0.0,0.0,0.0
290,180.0,0.0,0.0,0.0,0.0
300,180.0,0.0,0.0,0.0,0.0
310,180.0,0.0,0.0,0.0,0.0
320,180.0,0.0,0.0,0.0,0.0
330,180.0,0.0,0.0,0.0,0.0
340,180.0,0.0,0.0,0.0,0.0
350,180.0,0.0,0.0,0.0,0.0
360,180.0,0.0,0.0,0.0,0.0
370,180.0,0.0,0.0,0.0,0.0
380,180.0,0.0,0.0,0.0,0.0
390,180.0,0.0,0.0,0.0,0.0
400,180.0,0.0,0.0,0.0,0.0
410,180.0,0.0,0.0,0.0,0.0
420,180.0,0.0,0.0,0.0,0.0
430,180.0,0.0,0.0,0.0,0.0
440,180.0,0.0,0.0,0.0,0.0
450,180.0,0.0,0.0,0.0,0.0
460,180.0,0.0,0.0,0.0,0.0
470,180.0,0.0,0.0,0.0,0.0
480,180.0,0.0,0.0,0.0,0.0
490,180.0,0.0,0.0,0.0,0.0
500,180.0,0.0,0.0,0.0,0.0
510,180.0,0.0,0.0,0.0,0.0
520,180.0,0.0,0.0,0.0,0.0
530,180.0,0.0,0.0,0.0,0.0
540,180.0,0.0,0.0,0.0,0.0
550,180.0,0.0,0.0,0.0,0.0
560,180.0,0.0,0.0,0.0,0.0
570,180.0,0.0,0.0,0.0,0.0
580,180.0,0.0,0.0,0.0,0.0
590,180.0,0.0,0.0,0.0,0.0
600,180.0,0.0,0.0,0.0,0.0
610,180.0,0.0,0.0,0.0,0.0
620,180.0,0.0,0.0,0.0,0.0
630,180.0,0.0,0.0,0.0,0.0
640,180.0,0.0,0.0,0.0,0.0
650,180.0,0.0,0.0,0.0,0.0
660,180.0,0.0,0.0,0.0,0.0
670,180.0,0.0,0.0,0.0,0.0
681,180.0,0.0,0.0,0.0,0.0
691,180.0,0.0,0.0,0.0,0.0
701,180.0,0.0,0.0,0.0,0.0
711,180.0,0.0,0.0,0.0,0.0
721,180.0,0.0,0.0,0.0,0.0
731,180.0,0.0,0.0,0.0,0.0
741,180.0,0.0,0.0,0.0,0.0
751,180.0,0.0,0.0,0.0,0.0
761,180.0,0.0,0.0,0.0,0.0
771,180.0,0.0,0.0,0.0,0.0
781,180.0,0.0,0.0,0.0,0.0
791,180.0,0.0,0.0,0.0,0.0
